GO biological process complete 	num_total 	num_seen 	expected 	Fold Enrichment 	+/- 	raw P value 	FDR
Ras protein signal transduction 	41 	24 	10.53 	2.28 	+ 	1.82E-03 	4.79E-02
ribosomal subunit export from nucleus 	51 	28 	13.09 	2.14 	+ 	1.79E-03 	4.73E-02
establishment of protein localization to membrane 	106 	48 	27.21 	1.76 	+ 	1.61E-03 	4.27E-02
cytoplasmic translational initiation 	21 	16 	5.39 	2.97 	+ 	1.57E-03 	4.22E-02
glucose 6-phosphate metabolic process 	21 	16 	5.39 	2.97 	+ 	1.57E-03 	4.20E-02
nucleoside triphosphate biosynthetic process 	35 	22 	8.99 	2.45 	+ 	1.46E-03 	3.94E-02
cellular component organization or biogenesis 	2252 	647 	578.14 	1.12 	+ 	1.39E-03 	3.79E-02
DNA biosynthetic process 	96 	9 	24.65 	.37 	- 	1.39E-03 	3.78E-02
RNA export from nucleus 	125 	55 	32.09 	1.71 	+ 	1.36E-03 	3.72E-02
cellular response to osmotic stress 	63 	33 	16.17 	2.04 	+ 	1.30E-03 	3.57E-02
ribonucleoprotein complex localization 	123 	54 	31.58 	1.71 	+ 	1.27E-03 	3.53E-02
endocytosis 	108 	49 	27.73 	1.77 	+ 	1.27E-03 	3.52E-02
nucleoside monophosphate metabolic process 	52 	29 	13.35 	2.17 	+ 	1.24E-03 	3.51E-02
nucleoside monophosphate biosynthetic process 	42 	25 	10.78 	2.32 	+ 	1.23E-03 	3.50E-02
cellular carbohydrate biosynthetic process 	47 	27 	12.07 	2.24 	+ 	1.25E-03 	3.49E-02
ribosome localization 	52 	29 	13.35 	2.17 	+ 	1.24E-03 	3.49E-02
acyl-CoA metabolic process 	20 	16 	5.13 	3.12 	+ 	1.21E-03 	3.49E-02
ribonucleoprotein complex export from nucleus 	122 	54 	31.32 	1.72 	+ 	1.20E-03 	3.47E-02
thioester metabolic process 	20 	16 	5.13 	3.12 	+ 	1.21E-03 	3.47E-02
meiotic cell cycle 	306 	49 	78.56 	.62 	- 	1.18E-03 	3.41E-02
IMP biosynthetic process 	12 	12 	3.08 	3.90 	+ 	1.17E-03 	3.41E-02
cytoplasmic translation 	171 	70 	43.90 	1.59 	+ 	1.13E-03 	3.31E-02
heterocycle metabolic process 	1581 	471 	405.88 	1.16 	+ 	1.07E-03 	3.20E-02
macromolecule metabolic process 	2432 	696 	624.35 	1.11 	+ 	1.07E-03 	3.19E-02
nuclear export 	127 	56 	32.60 	1.72 	+ 	1.07E-03 	3.18E-02
tRNA aminoacylation 	41 	25 	10.53 	2.38 	+ 	1.04E-03 	3.17E-02
organic hydroxy compound biosynthetic process 	78 	39 	20.02 	1.95 	+ 	1.07E-03 	3.16E-02
amino acid activation 	41 	25 	10.53 	2.38 	+ 	1.04E-03 	3.15E-02
SRP-dependent cotranslational protein targeting to membrane 	22 	17 	5.65 	3.01 	+ 	1.00E-03 	3.08E-02
cotranslational protein targeting to membrane 	22 	17 	5.65 	3.01 	+ 	1.00E-03 	3.06E-02
protein export from nucleus 	124 	55 	31.83 	1.73 	+ 	9.60E-04 	2.98E-02
mitochondrial transmembrane transport 	59 	32 	15.15 	2.11 	+ 	9.54E-04 	2.98E-02
response to osmotic stress 	95 	45 	24.39 	1.85 	+ 	9.62E-04 	2.97E-02
ribonucleoside triphosphate biosynthetic process 	31 	21 	7.96 	2.64 	+ 	8.70E-04 	2.73E-02
protein transmembrane transport 	80 	40 	20.54 	1.95 	+ 	8.39E-04 	2.65E-02
nucleobase-containing compound metabolic process 	1479 	445 	379.69 	1.17 	+ 	7.45E-04 	2.37E-02
IMP metabolic process 	13 	13 	3.34 	3.90 	+ 	7.30E-04 	2.33E-02
intracellular protein transmembrane transport 	71 	37 	18.23 	2.03 	+ 	6.87E-04 	2.21E-02
cell cycle process 	574 	105 	147.36 	.71 	- 	6.78E-04 	2.20E-02
carbohydrate catabolic process 	82 	41 	21.05 	1.95 	+ 	6.67E-04 	2.17E-02
tRNA aminoacylation for protein translation 	37 	24 	9.50 	2.53 	+ 	6.44E-04 	2.11E-02
nucleobase biosynthetic process 	23 	18 	5.90 	3.05 	+ 	6.40E-04 	2.11E-02
drug metabolic process 	197 	80 	50.57 	1.58 	+ 	6.10E-04 	2.02E-02
ribonucleoside triphosphate metabolic process 	32 	22 	8.22 	2.68 	+ 	5.69E-04 	1.90E-02
ribonucleoside monophosphate biosynthetic process 	39 	25 	10.01 	2.50 	+ 	5.27E-04 	1.77E-02
regulation of biological quality 	582 	197 	149.41 	1.32 	+ 	5.10E-04 	1.72E-02
purine nucleobase metabolic process 	22 	18 	5.65 	3.19 	+ 	4.90E-04 	1.67E-02
lipid biosynthetic process 	179 	75 	45.95 	1.63 	+ 	4.65E-04 	1.60E-02
nucleobase-containing compound transport 	207 	84 	53.14 	1.58 	+ 	4.68E-04 	1.60E-02
cellular aromatic compound metabolic process 	1568 	472 	402.54 	1.17 	+ 	4.59E-04 	1.59E-02
cell cycle 	710 	134 	182.27 	.74 	- 	4.06E-04 	1.42E-02
mitochondrial translation 	118 	55 	30.29 	1.82 	+ 	3.76E-04 	1.32E-02
ATP generation from ADP 	26 	20 	6.67 	3.00 	+ 	3.52E-04 	1.26E-02
organic cyclic compound biosynthetic process 	614 	208 	157.63 	1.32 	+ 	3.45E-04 	1.25E-02
glycolytic process 	26 	20 	6.67 	3.00 	+ 	3.52E-04 	1.25E-02
translational initiation 	49 	30 	12.58 	2.38 	+ 	3.45E-04 	1.25E-02
steroid metabolic process 	49 	30 	12.58 	2.38 	+ 	3.45E-04 	1.24E-02
nucleotide phosphorylation 	29 	22 	7.44 	2.96 	+ 	3.09E-04 	1.20E-02
translational elongation 	29 	22 	7.44 	2.96 	+ 	3.09E-04 	1.19E-02
phytosteroid metabolic process 	29 	22 	7.44 	2.96 	+ 	3.09E-04 	1.18E-02
nucleoside diphosphate phosphorylation 	29 	22 	7.44 	2.96 	+ 	3.09E-04 	1.17E-02
ergosterol metabolic process 	29 	22 	7.44 	2.96 	+ 	3.09E-04 	1.16E-02
cellular response to chemical stress 	166 	72 	42.62 	1.69 	+ 	2.97E-04 	1.16E-02
cellular alcohol metabolic process 	29 	22 	7.44 	2.96 	+ 	3.09E-04 	1.16E-02
purine ribonucleoside monophosphate biosynthetic process 	23 	19 	5.90 	3.22 	+ 	3.11E-04 	1.15E-02
purine nucleoside monophosphate biosynthetic process 	23 	19 	5.90 	3.22 	+ 	3.11E-04 	1.15E-02
sterol metabolic process 	48 	30 	12.32 	2.43 	+ 	3.12E-04 	1.14E-02
cellular macromolecule metabolic process 	2014 	594 	517.04 	1.15 	+ 	2.83E-04 	1.12E-02
proteasomal ubiquitin-independent protein catabolic process 	17 	16 	4.36 	3.67 	+ 	2.84E-04 	1.12E-02
ergosterol biosynthetic process 	25 	20 	6.42 	3.12 	+ 	2.60E-04 	1.06E-02
phytosteroid biosynthetic process 	25 	20 	6.42 	3.12 	+ 	2.60E-04 	1.06E-02
cellular lipid biosynthetic process 	25 	20 	6.42 	3.12 	+ 	2.60E-04 	1.05E-02
cellular alcohol biosynthetic process 	25 	20 	6.42 	3.12 	+ 	2.60E-04 	1.04E-02
protein refolding 	34 	24 	8.73 	2.75 	+ 	2.42E-04 	9.96E-03
protein-containing complex subunit organization 	702 	235 	180.22 	1.30 	+ 	2.30E-04 	9.52E-03
organic hydroxy compound metabolic process 	135 	62 	34.66 	1.79 	+ 	2.18E-04 	9.10E-03
alcohol biosynthetic process 	53 	32 	13.61 	2.35 	+ 	2.15E-04 	9.04E-03
nucleobase metabolic process 	37 	26 	9.50 	2.74 	+ 	2.03E-04 	8.63E-03
actin filament organization 	62 	36 	15.92 	2.26 	+ 	1.98E-04 	8.47E-03
DNA integration 	50 	1 	12.84 	.08 	- 	1.77E-04 	7.66E-03
secondary alcohol biosynthetic process 	26 	21 	6.67 	3.15 	+ 	1.66E-04 	7.23E-03
RNA-dependent DNA biosynthetic process 	68 	3 	17.46 	.17 	- 	1.63E-04 	7.16E-03
sterol biosynthetic process 	35 	25 	8.99 	2.78 	+ 	1.57E-04 	7.03E-03
dicarboxylic acid metabolic process 	51 	32 	13.09 	2.44 	+ 	1.58E-04 	7.01E-03
ribonucleoside monophosphate metabolic process 	42 	28 	10.78 	2.60 	+ 	1.53E-04 	6.87E-03
ADP metabolic process 	28 	22 	7.19 	3.06 	+ 	1.45E-04 	6.56E-03
ribosomal large subunit biogenesis 	124 	59 	31.83 	1.85 	+ 	1.31E-04 	5.98E-03
nitrogen compound transport 	821 	272 	210.77 	1.29 	+ 	1.14E-04 	5.28E-03
steroid biosynthetic process 	36 	26 	9.24 	2.81 	+ 	1.02E-04 	4.77E-03
vesicle-mediated transport 	405 	150 	103.97 	1.44 	+ 	9.99E-05 	4.70E-03
nucleoside diphosphate metabolic process 	33 	25 	8.47 	2.95 	+ 	9.87E-05 	4.68E-03
ncRNA metabolic process 	457 	166 	117.32 	1.41 	+ 	9.66E-05 	4.62E-03
ribonucleoside diphosphate metabolic process 	29 	23 	7.44 	3.09 	+ 	9.25E-05 	4.55E-03
purine ribonucleoside diphosphate metabolic process 	29 	23 	7.44 	3.09 	+ 	9.25E-05 	4.51E-03
purine nucleoside diphosphate metabolic process 	29 	23 	7.44 	3.09 	+ 	9.25E-05 	4.47E-03
secondary alcohol metabolic process 	35 	26 	8.99 	2.89 	+ 	7.94E-05 	4.02E-03
purine ribonucleoside monophosphate metabolic process 	26 	22 	6.67 	3.30 	+ 	7.98E-05 	4.00E-03
purine nucleoside monophosphate metabolic process 	26 	22 	6.67 	3.30 	+ 	7.98E-05 	3.96E-03
nucleic acid transport 	163 	74 	41.85 	1.77 	+ 	7.52E-05 	3.84E-03
establishment of RNA localization 	161 	73 	41.33 	1.77 	+ 	7.15E-05 	3.72E-03
