GO biological process complete 	num_total 	num_seen 	expected 	Fold Enrichment 	+/- 	raw P value 	FDR
organic hydroxy compound metabolic process 	135 	33 	16.94 	1.95 	+ 	1.08E-03 	4.87E-02
acyl-CoA metabolic process 	20 	10 	2.51 	3.99 	+ 	1.04E-03 	4.81E-02
regulation of DNA-templated transcription, initiation 	24 	11 	3.01 	3.65 	+ 	1.03E-03 	4.80E-02
macromolecule localization 	926 	152 	116.17 	1.31 	+ 	1.05E-03 	4.78E-02
aspartate family amino acid biosynthetic process 	55 	18 	6.90 	2.61 	+ 	1.01E-03 	4.78E-02
thioester metabolic process 	20 	10 	2.51 	3.99 	+ 	1.04E-03 	4.77E-02
tRNA aminoacylation for protein translation 	37 	14 	4.64 	3.02 	+ 	1.01E-03 	4.76E-02
cellular localization 	929 	153 	116.55 	1.31 	+ 	8.87E-04 	4.28E-02
nucleic acid transport 	163 	38 	20.45 	1.86 	+ 	8.90E-04 	4.26E-02
DNA recombination 	233 	12 	29.23 	.41 	- 	8.45E-04 	4.12E-02
RNA localization 	185 	42 	23.21 	1.81 	+ 	8.02E-04 	4.02E-02
establishment of RNA localization 	161 	38 	20.20 	1.88 	+ 	8.03E-04 	3.99E-02
regulation of transcription initiation from RNA polymerase II promoter 	23 	11 	2.89 	3.81 	+ 	7.84E-04 	3.96E-02
RNA transport 	161 	38 	20.20 	1.88 	+ 	8.03E-04 	3.95E-02
lysine metabolic process 	15 	9 	1.88 	4.78 	+ 	7.03E-04 	3.59E-02
localization 	1498 	232 	187.93 	1.23 	+ 	6.49E-04 	3.38E-02
carbohydrate metabolic process 	231 	50 	28.98 	1.73 	+ 	6.52E-04 	3.36E-02
alcohol metabolic process 	93 	26 	11.67 	2.23 	+ 	6.06E-04 	3.19E-02
secondary alcohol biosynthetic process 	26 	12 	3.26 	3.68 	+ 	5.84E-04 	3.10E-02
organic cyclic compound metabolic process 	1636 	251 	205.25 	1.22 	+ 	5.67E-04 	3.04E-02
cellular carbohydrate biosynthetic process 	47 	17 	5.90 	2.88 	+ 	4.62E-04 	2.55E-02
nuclear transport 	168 	40 	21.08 	1.90 	+ 	4.62E-04 	2.53E-02
cellular nitrogen compound metabolic process 	1883 	285 	236.23 	1.21 	+ 	4.31E-04 	2.51E-02
nucleocytoplasmic transport 	168 	40 	21.08 	1.90 	+ 	4.62E-04 	2.50E-02
phytosteroid metabolic process 	29 	13 	3.64 	3.57 	+ 	4.33E-04 	2.50E-02
ergosterol metabolic process 	29 	13 	3.64 	3.57 	+ 	4.33E-04 	2.47E-02
cellular alcohol metabolic process 	29 	13 	3.64 	3.57 	+ 	4.33E-04 	2.45E-02
